OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-042AY","FLOCK 2K 29","42871","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AX","FLOCK 2K 32","42870","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AW","FLOCK 2K 31","42869","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AV","FLOCK 2K 38","42868","US","93.32","96.89","442","432","SMALL","0","2017-07-14",""
"2017-042AU","FLOCK 2K 37","42867","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AT","FLOCK 2K 39","42866","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AS","FLOCK 2K 40","42865","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AR","FLOCK 2K 05","42864","US","93.25","96.89","438","429","SMALL","0","2017-07-14",""
"2017-042AQ","FLOCK 2K 08","42863","US","93.38","96.89","445","435","SMALL","0","2017-07-14",""
"2017-042AP","FLOCK 2K 07","42862","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
"2017-042AN","FLOCK 2K 22","42861","US","93.18","96.89","434","426","SMALL","0","2017-07-14",""
"2017-042AM","FLOCK 2K 21","42860","US","93.42","96.89","447","437","SMALL","0","2017-07-14",""
